moteid,light
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,43.24
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,45.08
1,46.92
1,46.92
1,46.92
1,46.92
1,46.92
1,46.92
1,48.76
1,50.6
1,53.36
1,57.04
1,57.04
1,57.04
1,57.04
1,136.16
1,150.88
1,165.6
1,235.52
1,235.52
1,250.24
1,309.12
1,309.12
1,323.84
1,338.56
1,338.56
1,338.56
1,353.28
1,353.28
1,368.0
1,368.0
1,368.0
1,368.0
1,368.0
1,368.0
1,368.0
1,368.0
1,368.0
1,368.0
1,368.0
1,368.0
1,368.0
1,382.72
1,382.72
1,382.72
1,397.44
1,397.44
1,397.44
1,397.44
1,412.16
1,412.16
1,412.16
1,412.16
1,412.16
1,412.16
1,412.16
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,397.44
1,412.16
1,412.16
1,412.16
1,412.16
1,426.88
1,426.88
1,426.88
1,426.88
1,426.88
1,426.88
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,441.6
1,456.32
1,456.32
1,456.32
1,456.32
1,456.32
1,456.32
1,456.32
1,456.32
1,456.32
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,478.4
1,507.84
1,507.84
1,507.84
1,507.84
1,507.84
1,507.84
1,507.84
1,507.84
1,507.84
1,507.84
1,507.84
