moteid,humidity
1,37.0933
1,38.4629
1,38.8039
1,38.8379
1,38.9401
1,38.872
1,38.8039
1,38.8379
1,38.872
1,38.9401
1,38.9061
1,38.8039
1,38.872
1,39.0082
1,38.872
1,38.8039
1,38.7357
1,38.8039
1,38.9061
1,38.872
1,38.9061
1,39.0082
1,38.7357
1,38.7357
1,38.8039
1,38.9401
1,38.9401
1,38.9742
1,38.9742
1,39.0422
1,38.9401
1,39.0763
1,38.9742
1,38.9401
1,38.8039
1,38.872
1,38.9061
1,38.8039
1,38.8039
1,38.8379
1,38.8039
1,38.7698
1,38.8039
1,38.872
1,39.0082
1,38.9061
1,39.0082
1,39.0082
1,39.0082
1,39.0763
1,39.0082
1,39.0082
1,38.9401
1,38.9742
1,39.0082
1,39.0082
1,39.0082
1,39.0082
1,38.9401
1,38.9401
1,39.0082
1,39.0082
1,38.872
1,38.9061
1,38.8379
1,38.8039
1,38.872
1,38.8039
1,38.8039
1,38.8379
1,38.9401
1,38.872
1,38.9401
1,38.9401
1,38.9401
1,38.9401
1,38.872
1,38.872
1,38.872
1,38.872
1,38.872
1,38.8379
1,38.872
1,38.8039
1,38.872
1,38.9061
1,38.9401
1,38.9401
1,39.0082
1,39.0763
1,39.0082
1,39.0422
1,39.0422
1,38.9742
1,38.9742
1,38.9742
1,38.9401
1,38.9401
1,38.9401
1,39.0082
1,39.1443
1,39.0763
1,39.1443
1,39.0763
1,39.0422
1,39.0763
1,39.0763
1,39.0082
1,39.0082
1,39.0763
1,39.0082
1,39.0082
1,39.0082
1,39.0082
1,39.0082
1,39.0082
1,39.0082
1,39.0763
1,39.1443
1,39.0763
1,39.0763
1,39.1103
1,39.1443
1,39.0763
1,39.0763
1,39.0082
1,39.0763
1,39.0422
1,39.0763
1,39.0082
1,38.9742
1,39.1443
1,39.1443
1,39.1443
1,39.0763
1,39.1443
1,39.1443
1,39.0422
1,39.1443
1,39.1443
1,39.0763
1,39.0763
1,39.0082
1,39.0422
1,39.0763
1,39.0422
1,39.0082
1,39.0763
1,39.0422
1,39.0763
1,39.0422
1,39.1103
1,39.1103
1,39.0763
1,39.0082
1,39.0422
1,39.0763
1,39.0082
1,39.0082
1,39.0082
1,39.0082
1,39.0082
1,39.1103
1,39.1443
1,39.1103
1,39.1443
1,39.2123
1,39.2123
1,39.1103
1,39.0763
1,39.0082
1,39.0422
1,39.0422
1,39.0763
1,39.1103
1,39.1103
1,39.1443
1,39.1103
1,39.0763
1,39.0763
1,39.0422
1,39.0763
1,39.0763
1,39.0763
1,39.1103
1,39.1103
1,39.0763
1,39.0422
1,39.0422
1,39.0422
1,39.1103
1,39.1443
1,39.1443
1,39.1443
1,39.1443
1,39.1443
1,39.1103
1,39.1783
1,39.1103
1,39.1103
1,39.1783
1,39.1103
1,39.1443
1,39.1103
1,39.1103
1,39.1443
1,39.1443
1,39.1443
1,39.1443
1,39.2123
1,39.2463
1,39.2123
1,39.2123
1,39.1783
1,39.1783
1,39.1783
1,39.1443
1,39.1443
1,39.1443
1,39.0763
1,39.2123
1,39.2123
1,39.2123
1,39.2123
1,39.2123
1,39.2123
1,39.1783
1,39.2123
1,39.1443
1,39.2123
1,39.2803
1,39.2123
1,39.2463
1,39.2123
1,39.2463
1,39.1783
1,39.2123
1,39.1443
1,39.1443
1,39.1783
1,39.3483
1,39.3143
1,39.3143
1,39.2803
1,39.3823
1,39.2803
1,39.2803
1,39.3143
1,39.2803
1,39.2803
1,39.3483
1,39.2463
1,39.2803
1,39.2463
1,39.2463
1,39.2123
1,39.2123
1,39.3483
1,39.4502
1,39.2803
1,39.2803
1,39.2803
1,39.2803
1,39.3143
1,39.2123
1,39.1443
1,38.872
1,38.8379
1,38.8379
1,38.7698
1,38.7357
1,38.7357
1,38.7357
1,38.7357
1,38.7698
1,38.6675
1,38.6675
1,38.6334
1,38.5993
1,38.6675
1,38.5993
1,38.6675
1,38.6334
1,38.5993
1,38.5311
1,38.5652
1,38.5311
1,38.5311
1,38.3946
1,38.3263
1,38.1897
1,38.0529
1,37.9161
1,37.7792
1,37.8477
1,37.7107
1,37.5394
1,37.4022
1,37.3336
1,37.2993
1,37.2993
1,37.2307
1,37.162
1,37.2307
1,36.7839
1,36.7495
1,36.7151
1,36.6118
1,36.543
1,36.4741
1,36.4052
1,36.2673
1,36.3018
1,36.1983
1,36.1293
1,36.0603
1,35.9221
1,35.7839
1,35.6802
1,35.7148
1,35.5764
1,35.3687
1,35.2995
1,35.2648
1,34.8834
1,34.8834
1,34.536
1,34.3969
1,34.3273
1,34.188
1,34.188
1,34.1184
1,34.0139
1,33.9093
1,33.8047
1,33.4206
1,33.4206
1,33.3507
1,33.3158
1,33.2808
1,33.2808
1,33.2458
1,33.3507
1,33.2808
1,33.2808
1,33.2108
1,33.0709
1,33.0709
1,33.0009
1,33.0359
1,33.0009
1,32.8608
1,32.8958
1,32.8608
1,32.8257
1,32.7557
1,32.6855
1,32.5803
1,32.5452
1,32.5102
1,32.44
1,32.4049
1,32.3698
1,32.3346
1,32.2995
1,32.4049
1,32.44
1,32.4049
1,32.3698
1,32.3346
1,32.2644
1,32.2293
1,32.1941
1,32.0887
1,31.948
1,31.948
1,31.8776
1,32.0183
1,31.8072
1,31.8072
1,31.7368
1,31.948
1,31.8072
1,31.7368
1,31.6664
1,31.5959
1,31.6312
1,31.6664
1,31.7368
1,31.6664
1,31.7368
1,31.7016
1,31.6312
1,31.5254
1,31.5254
1,31.3844
1,31.4197
1,31.4549
1,31.3139
1,31.3139
1,31.3139
1,31.3844
1,31.3139
1,31.1374
1,31.1374
1,31.1021
1,31.0314
1,31.0667
1,31.1727
1,30.9608
1,30.8901
1,30.8547
1,30.8901
1,30.7486
1,30.6779
1,30.6779
1,30.6779
1,30.6779
1,30.6071
1,30.6071
1,30.5717
1,30.5363
1,30.5363
1,30.4655
1,30.4655
1,30.4301
1,30.3947
1,30.3947
1,30.3947
1,30.3947
1,30.3947
1,30.3947
1,30.3238
1,30.2529
1,30.2529
1,30.1465
1,30.182
1,30.3238
1,30.2529
1,30.1111
1,29.8981
1,30.0401
1,30.1111
1,30.1111
1,30.2175
1,30.1111
1,30.0401
1,30.0401
1,30.0046
1,30.0046
1,30.0401
1,30.182
1,30.0401
1,30.3238
1,30.2884
1,30.0401
1,30.0401
1,29.9691
1,29.9691
1,29.8981
1,29.9691
1,30.0046
1,30.0401
1,30.2884
1,30.3238
1,30.2175
1,30.3592
1,30.2529
1,30.6071
1,30.4655
1,30.5363
1,30.5009
1,30.6071
1,30.6779
1,30.8194
1,30.6779
1,30.7486
1,30.6071
1,30.6071
1,30.6779
1,30.5363
1,30.5717
1,30.6071
1,30.6071
1,30.6779
1,30.6071
1,30.6779
1,30.6071
1,30.5363
1,30.5363
1,30.4655
1,30.5363
1,30.3238
1,30.2529
1,30.2529
1,30.182
1,30.182
1,30.182
1,30.182
1,30.2529
1,30.2529
1,30.2529
1,30.2175
1,30.3947
1,30.3947
1,30.3947
1,30.5009
1,30.4655
1,30.4655
1,30.6779
1,30.5363
1,30.4655
1,30.4301
1,30.4655
1,30.3947
1,30.5363
1,30.3947
1,30.3238
1,30.3238
1,30.2529
1,30.182
1,30.3238
1,30.2529
1,30.2529
1,30.2529
1,30.3238
1,30.5363
1,30.5363
1,30.4655
1,30.5363
1,30.5363
1,30.5363
1,30.4655
1,30.4655
1,30.4655
1,30.5009
1,30.3947
1,30.3947
1,30.3238
1,30.3238
1,30.3238
1,30.3947
1,30.5363
1,30.5363
1,30.5009
1,30.5363
1,30.4655
1,30.4655
1,30.7486
1,30.5363
1,30.6071
1,30.5717
1,30.6779
1,30.784
1,30.7133
1,30.6071
1,30.5009
1,30.4655
1,30.6779
1,30.5363
1,30.5363
1,30.784
1,30.8194
1,30.6779
1,30.6425
1,30.5363
1,30.5363
1,30.5363
1,30.5363
1,30.4655
1,30.5363
1,30.4655
1,30.4301
1,30.5363
1,30.5363
1,30.6779
1,30.6425
1,30.6779
1,30.6779
1,30.6071
1,30.6071
1,30.6779
1,30.5363
1,30.3947
1,30.3238
1,30.3947
1,30.3947
1,30.3592
1,30.3238
1,30.182
1,30.1465
1,30.3947
1,30.3947
1,30.4655
1,30.6779
1,30.6779
1,30.6779
1,30.7133
1,30.6071
1,30.6071
1,30.5009
1,30.4655
1,30.6071
1,30.8901
1,30.5363
1,30.3238
1,30.5363
1,30.784
1,30.8901
1,30.9608
1,30.7486
1,30.6071
1,30.8194
1,30.4301
1,30.3947
1,30.2529
1,30.2529
1,30.2529
1,30.5363
1,30.8901
