moteid,temperature
1,19.9884
1,19.3024
1,19.1652
1,19.175
1,19.1456
1,19.1652
1,19.1652
1,19.1456
1,19.1456
1,19.1456
1,19.1358
1,19.1162
1,19.1162
1,19.1064
1,19.1064
1,19.0966
1,19.0966
1,19.0868
1,19.0672
1,19.0672
1,19.0672
1,19.0868
1,19.0182
1,19.0182
1,19.0084
1,19.0084
1,19.0084
1,18.9986
1,19.0084
1,18.9888
1,18.9692
1,18.979
1,18.979
1,18.9692
1,18.9888
1,18.979
1,18.9888
1,18.9692
1,18.9594
1,18.9594
1,18.9692
1,18.9398
1,18.93
1,18.9202
1,18.9104
1,18.9006
1,18.9006
1,18.9104
1,18.9006
1,18.8908
1,18.9006
1,18.9104
1,18.8908
1,18.8712
1,18.8222
1,18.8124
1,18.8124
1,18.8026
1,18.7928
1,18.7928
1,18.7732
1,18.7732
1,18.7928
1,18.7732
1,18.7536
1,18.7732
1,18.7634
1,18.7536
1,18.7242
1,18.734
1,18.7242
1,18.734
1,18.7242
1,18.7144
1,18.6948
1,18.6948
1,18.685
1,18.6654
1,18.6556
1,18.6458
1,18.636
1,18.636
1,18.636
1,18.636
1,18.6164
1,18.6066
1,18.5478
1,18.5184
1,18.5086
1,18.4988
1,18.4988
1,18.4988
1,18.5086
1,18.5086
1,18.4694
1,18.4596
1,18.44
1,18.4204
1,18.4204
1,18.4106
1,18.4008
1,18.4008
1,18.4008
1,18.4106
1,18.4204
1,18.4106
1,18.4008
1,18.4008
1,18.4008
1,18.3812
1,18.3714
1,18.3812
1,18.3616
1,18.342
1,18.3322
1,18.3322
1,18.3322
1,18.342
1,18.3126
1,18.3224
1,18.3028
1,18.3028
1,18.293
1,18.3028
1,18.293
1,18.2832
1,18.2636
1,18.2734
1,18.2636
1,18.2636
1,18.244
1,18.2048
1,18.2048
1,18.1852
1,18.2048
1,18.2048
1,18.2048
1,18.1852
1,18.1558
1,18.1656
1,18.1558
1,18.1558
1,18.1362
1,18.1264
1,18.1068
1,18.097
1,18.0872
1,18.0872
1,18.0872
1,18.0872
1,18.0774
1,18.0676
1,18.0676
1,18.0676
1,18.0676
1,18.0284
1,18.0382
1,18.0284
1,18.0284
1,18.0186
1,18.0088
1,18.0088
1,17.9794
1,17.9598
1,17.9696
1,17.9598
1,17.9304
1,17.9304
1,17.9402
1,17.95
1,17.9402
1,17.9108
1,17.8814
1,17.8814
1,17.8716
1,17.8912
1,17.8814
1,17.8716
1,17.8814
1,17.8912
1,17.8814
1,17.8716
1,17.8716
1,17.852
1,17.852
1,17.852
1,17.8422
1,17.8324
1,17.8128
1,17.8226
1,17.8128
1,17.7932
1,17.7932
1,17.7932
1,17.7932
1,17.803
1,17.8128
1,17.7834
1,17.7736
1,17.7736
1,17.7736
1,17.754
1,17.754
1,17.754
1,17.7246
1,17.7344
1,17.7148
1,17.7148
1,17.7148
1,17.7148
1,17.6952
1,17.6952
1,17.6854
1,17.705
1,17.6952
1,17.6952
1,17.6952
1,17.6952
1,17.6854
1,17.6854
1,17.656
1,17.656
1,17.656
1,17.6658
1,17.6756
1,17.6756
1,17.6756
1,17.6658
1,17.6756
1,17.6658
1,17.656
1,17.656
1,17.6462
1,17.6364
1,17.6364
1,17.6364
1,17.6364
1,17.6266
1,17.5972
1,17.607
1,17.5776
1,17.5678
1,17.5776
1,17.5776
1,17.5776
1,17.5776
1,17.5678
1,17.5776
1,17.5776
1,17.5776
1,17.5776
1,17.5776
1,17.5678
1,17.5678
1,17.558
1,17.558
1,17.5482
1,17.5384
1,17.5482
1,17.509
1,17.509
1,17.509
1,17.509
1,17.5482
1,17.5874
1,17.5972
1,17.7442
1,17.754
1,17.7932
1,17.8324
1,17.8324
1,17.852
1,17.8618
1,17.852
1,17.8618
1,17.8912
1,17.901
1,17.95
1,17.95
1,17.95
1,17.95
1,17.9598
1,17.9696
1,17.9892
1,18.0186
1,18.0284
1,18.0284
1,18.0578
1,18.1558
1,18.1656
1,18.3224
1,18.3812
1,18.4988
1,18.5772
1,18.5968
1,18.636
1,18.7732
1,18.8516
1,18.8614
1,18.8908
1,18.9202
1,18.93
1,18.9496
1,18.9594
1,19.1652
1,19.1848
1,19.2142
1,19.2436
1,19.273
1,19.322
1,19.3906
1,19.4396
1,19.4494
1,19.5376
1,19.5474
1,19.5964
1,19.665
1,19.763
1,19.7728
1,19.7826
1,19.9296
1,20.0178
1,20.0276
1,20.0472
1,20.253
1,20.2824
1,20.5176
1,20.596
1,20.6058
1,20.7136
1,20.7136
1,20.7626
1,20.8312
1,20.89
1,20.988
1,21.2134
1,21.2428
1,21.282
1,21.3114
1,21.3114
1,21.3212
1,21.3212
1,21.3408
1,21.3702
1,21.3996
1,21.4388
1,21.4878
1,21.5172
1,21.5074
1,21.527
1,21.5368
1,21.6544
1,21.674
1,21.7132
1,21.7916
1,21.8112
1,21.8112
1,21.8896
1,21.8896
1,21.9484
1,22.017
1,22.0366
1,22.066
1,22.0856
1,22.115
1,22.0954
1,22.0856
1,22.0954
1,22.1346
1,22.1934
1,22.2228
1,22.2424
1,22.3012
1,22.36
1,22.458
1,22.4972
1,22.5168
1,22.4874
1,22.5952
1,22.6638
1,22.6834
1,22.6344
1,22.6442
1,22.7128
1,22.7324
1,22.7618
1,22.752
1,22.7324
1,22.752
1,22.7912
1,22.7716
1,22.8108
1,22.8304
1,22.8794
1,22.8892
1,22.9872
1,23.0068
1,23.0264
1,23.0558
1,23.0754
1,23.0852
1,23.0852
1,23.1146
1,23.193
1,23.2616
1,23.3008
1,23.3596
1,23.3302
1,23.34
1,23.4576
1,23.487
1,23.5262
1,23.5164
1,23.6046
1,23.6536
1,23.683
1,23.6732
1,23.683
1,23.732
1,23.732
1,23.7418
1,23.8104
1,23.8496
1,23.9084
1,23.9182
1,23.9084
1,23.9182
1,23.9378
1,23.9574
1,23.9672
1,23.9868
1,24.0064
1,24.0162
1,24.1142
1,24.1436
1,24.1828
1,24.1828
1,24.0848
1,24.2122
1,24.2808
1,24.3984
1,24.32
1,24.3004
1,24.3102
1,24.3984
1,24.4572
1,24.4866
1,24.4376
1,24.3984
1,24.3886
1,24.4082
1,24.3984
1,24.418
1,24.2612
1,24.3494
1,24.5062
1,24.5356
1,24.516
1,24.5552
1,24.5552
1,24.565
1,24.5748
1,24.5552
1,24.4376
1,24.4474
1,24.4572
1,24.4474
1,24.4572
1,24.3886
1,24.3494
1,24.3004
1,24.3102
1,24.2808
1,24.2024
1,24.222
1,24.2808
1,24.2416
1,24.3102
1,24.3494
1,24.3298
1,24.3788
1,24.3592
1,24.3788
1,24.3886
1,24.3788
1,24.3984
1,24.3984
1,24.3886
1,24.418
1,24.4376
1,24.5258
1,24.5258
1,24.5944
1,24.614
1,24.614
1,24.6434
1,24.663
1,24.6532
1,24.6532
1,24.614
1,24.6336
1,24.614
1,24.6238
1,24.6042
1,24.5748
1,24.565
1,24.5356
1,24.5258
1,24.5552
1,24.4572
1,24.4964
1,24.5454
1,24.5748
1,24.5944
1,24.614
1,24.6042
1,24.6434
1,24.6336
1,24.6532
1,24.663
1,24.7414
1,24.6826
1,24.712
1,24.6728
1,24.663
1,24.5944
1,24.5552
1,24.565
1,24.5552
1,24.565
1,24.5944
1,24.6336
1,24.6728
1,24.7022
1,24.712
1,24.7022
1,24.761
1,24.7904
1,24.7806
1,24.7904
1,24.81
1,24.7806
1,24.712
1,24.7512
1,24.7512
1,24.7708
1,24.7904
1,24.7708
1,24.663
1,24.6826
1,24.6728
1,24.6434
1,24.6238
1,24.614
1,24.6532
1,24.6728
1,24.712
1,24.7512
1,24.7512
1,24.7316
1,24.7316
1,24.7218
1,24.7316
1,24.7218
1,24.7414
1,24.7904
1,24.7512
1,24.81
1,24.7512
1,24.7806
1,24.859
1,24.859
1,24.8492
1,24.8296
1,24.7512
1,24.7316
1,24.7316
1,24.6924
1,24.712
1,24.7022
1,24.6924
1,24.712
1,24.7414
1,24.8786
1,24.8982
1,24.8786
1,24.8786
1,24.8884
1,24.8982
1,24.9864
1,24.9864
1,24.9276
1,24.8492
1,24.8296
1,24.8002
1,24.712
1,24.712
1,24.7218
1,24.7414
1,24.7904
1,24.81
1,24.8394
1,24.8296
1,24.761
1,24.81
1,24.9178
1,24.8198
1,24.712
1,24.6728
1,24.6532
1,24.7414
1,24.7708
1,24.7806
1,24.9374
1,24.9766
1,24.9766
1,24.9864
1,24.9668
1,24.8688
1,24.6728
1,24.5356
1,24.5258
1,24.5356
1,24.4572
1,24.4376
1,24.2612
1,24.1926
1,24.075
1,24.0456
1,24.0456
1,24.0358
1,24.0162
1,23.9868
1,23.9084
1,23.8202
1,23.83
1,23.9084
1,23.8986
1,23.928
1,23.8692
1,23.7908
1,23.7222
1,23.7516
1,23.7712
1,23.8006
1,23.8104
1,23.7908
1,23.7614
1,23.7614
1,23.7712
1,23.7614
1,23.7516
1,23.732
1,23.732
1,23.6928
1,23.6634
1,23.6536
1,23.6144
1,23.7026
1,23.7614
1,23.7712
1,23.7614
1,23.7712
1,23.781
1,23.7124
1,23.6928
1,23.683
1,23.7124
1,23.732
1,23.7516
1,23.7712
1,23.7712
1,23.7026
1,23.683
1,23.634
1,23.6242
1,23.634
1,23.6732
1,23.683
1,23.6732
1,23.6732
1,23.6046
1,23.5948
1,23.6144
1,23.6438
1,23.6634
1,23.6732
1,23.6928
1,23.6634
1,23.6536
1,23.6144
1,23.5164
1,23.4968
1,23.4674
1,23.438
1,23.438
1,23.438
1,23.4478
1,23.438
1,23.4576
1,23.4576
1,23.3694
1,23.3596
1,23.3596
1,23.3596
1,23.34
1,23.3106
1,23.3302
1,23.3204
1,23.291
1,23.2812
1,23.2812
1,23.2714
1,23.2616
1,23.242
1,23.2224
1,23.2224
1,23.2224
1,23.2028
1,23.1832
1,23.1636
1,23.1538
1,23.1342
1,23.1244
1,23.0754
1,23.0656
1,23.046
1,23.0264
1,23.0166
1,23.0068
1,22.9676
1,22.9382
1,22.899
1,22.85
1,22.8402
1,22.8402
1,22.85
1,22.8402
1,22.8402
1,22.8304
1,22.8304
1,22.8402
1,22.8304
1,22.8206
1,22.7716
1,22.7716
1,22.752
1,22.7324
1,22.6932
1,22.6736
1,22.6736
1,22.6638
1,22.654
1,22.6344
1,22.6246
1,22.6148
1,22.5854
1,22.5168
1,22.5364
1,22.5462
1,22.5364
1,22.5266
1,22.5168
1,22.5266
1,22.5168
